Results for dataset: examples/data/A Machine Learning-Based Classification and Prediction Technique for DDoS Attacks/test.csv
Accuracy: 0.84761
Total Final Rules: 3182

--- Top Active Rules ---
Rule1506_Class4: Used 8, Errors 0 (0.00%)
Rule1554_Class3: Used 8, Errors 5 (62.50%)
Rule1616_Class6: Used 8, Errors 0 (0.00%)
Rule1642_Class6: Used 8, Errors 0 (0.00%)
Rule1681_Class6: Used 8, Errors 0 (0.00%)
Rule1757_Class6: Used 8, Errors 0 (0.00%)
Rule1772_Class4: Used 8, Errors 0 (0.00%)
Rule1788_Class3: Used 8, Errors 6 (75.00%)
Rule2059_Class3: Used 8, Errors 1 (12.50%)
Rule2158_Class6: Used 8, Errors 4 (50.00%)
Rule2398_Class6: Used 8, Errors 1 (12.50%)
Rule2452_Class6: Used 8, Errors 2 (25.00%)
Rule2679_Class6: Used 8, Errors 0 (0.00%)
Rule2771_Class3: Used 8, Errors 0 (0.00%)
Rule2859_Class3: Used 8, Errors 0 (0.00%)
Rule2905_Class5: Used 8, Errors 2 (25.00%)
Rule2997_Class3: Used 8, Errors 1 (12.50%)
Rule3069_Class4: Used 8, Errors 0 (0.00%)
Rule3087_Class2: Used 8, Errors 1 (12.50%)
Rule3110_Class3: Used 8, Errors 0 (0.00%)
Rule3123_Class3: Used 8, Errors 5 (62.50%)
Rule3203_Class2: Used 8, Errors 4 (50.00%)
Rule3258_Class2: Used 8, Errors 6 (75.00%)
Rule3269_Class3: Used 8, Errors 7 (87.50%)
Rule3362_Class3: Used 8, Errors 6 (75.00%)
Rule3375_Class3: Used 8, Errors 7 (87.50%)
Rule515_Class3_&_Rule516_Class3: Used 7, Errors 4 (57.14%)
Rule1850_Class3_&_Rule1851_Class3: Used 7, Errors 6 (85.71%)
Rule1913_Class4_&_Rule1914_Class4: Used 7, Errors 6 (85.71%)
Rule2010_Class2_&_Rule2011_Class2: Used 7, Errors 5 (71.43%)
Rule2892_Class3_&_Rule2893_Class3: Used 7, Errors 0 (0.00%)
Rule3193_Class3_&_Rule3194_Class3: Used 7, Errors 6 (85.71%)
Rule3309_Class3_&_Rule3310_Class3: Used 7, Errors 6 (85.71%)
Rule3337_Class3_&_Rule3338_Class3: Used 7, Errors 6 (85.71%)
Rule70_Class6: Used 7, Errors 0 (0.00%)
Rule396_Class3: Used 7, Errors 2 (28.57%)
Rule404_Class3: Used 7, Errors 3 (42.86%)
Rule446_Class7: Used 7, Errors 4 (57.14%)
Rule459_Class3: Used 7, Errors 2 (28.57%)
Rule488_Class3: Used 7, Errors 2 (28.57%)
Rule689_Class3: Used 7, Errors 2 (28.57%)
Rule809_Class2: Used 7, Errors 5 (71.43%)
Rule841_Class3: Used 7, Errors 3 (42.86%)
Rule921_Class5: Used 7, Errors 3 (42.86%)
Rule1152_Class6: Used 7, Errors 0 (0.00%)
Rule1316_Class7: Used 7, Errors 0 (0.00%)
Rule1361_Class2: Used 7, Errors 7 (100.00%)
Rule1438_Class3: Used 7, Errors 2 (28.57%)
Rule1769_Class6: Used 7, Errors 0 (0.00%)
Rule1805_Class4: Used 7, Errors 6 (85.71%)
Rule1829_Class4: Used 7, Errors 7 (100.00%)
Rule1834_Class3: Used 7, Errors 5 (71.43%)
Rule1883_Class4: Used 7, Errors 7 (100.00%)
Rule1890_Class1: Used 7, Errors 7 (100.00%)
Rule1903_Class3: Used 7, Errors 6 (85.71%)
Rule1931_Class2: Used 7, Errors 6 (85.71%)
Rule1983_Class2: Used 7, Errors 4 (57.14%)
Rule1984_Class3: Used 7, Errors 5 (71.43%)
Rule2044_Class7: Used 7, Errors 1 (14.29%)
Rule2098_Class6: Used 7, Errors 2 (28.57%)
Rule2160_Class6: Used 7, Errors 2 (28.57%)
Rule2184_Class6: Used 7, Errors 0 (0.00%)
Rule2211_Class4: Used 7, Errors 5 (71.43%)
Rule2271_Class6: Used 7, Errors 3 (42.86%)
Rule2328_Class6: Used 7, Errors 0 (0.00%)
Rule2391_Class6: Used 7, Errors 1 (14.29%)
Rule2446_Class6: Used 7, Errors 0 (0.00%)
Rule2465_Class6: Used 7, Errors 0 (0.00%)
Rule2577_Class4: Used 7, Errors 4 (57.14%)
